Simulating Bereshit's Landing:
    time |       vs |         hs |            dist |             alt |      ang |     weight |     acc |    fuel
------------------------------------------------------------------------------------------------------------------
    0.00 |    24.80 |     932.00 |       181000.00 |        13748.00 |    58.30 |     286.00 |    0.00 |  121.00
   10.00 |    24.74 |     919.96 |       259557.96 |        13496.50 |    58.30 |     284.42 |    1.60 |  119.42
   20.00 |    23.83 |     906.34 |       250433.04 |        13254.19 |    58.30 |     282.82 |    1.61 |  117.82
   30.00 |    23.00 |     892.64 |       241445.28 |        13020.56 |    58.30 |     281.22 |    1.62 |  116.22
   40.00 |    22.25 |     878.86 |       232595.43 |        12794.78 |    58.30 |     279.62 |    1.62 |  114.62
   50.00 |    21.59 |     865.01 |       223884.26 |        12576.00 |    58.30 |     278.02 |    1.63 |  113.02
   60.00 |    21.00 |     851.07 |       215312.55 |        12363.42 |    58.30 |     276.41 |    1.64 |  111.41
   70.00 |    20.51 |     837.05 |       206881.10 |        12156.18 |    58.30 |     274.81 |    1.65 |  109.81
   80.00 |    20.09 |     822.95 |       198590.69 |        11953.47 |    58.30 |     273.21 |    1.66 |  108.21
   90.00 |    19.84 |     808.89 |       190441.79 |        11754.23 |    58.30 |     271.63 |    1.62 |  106.63
  100.00 |    20.01 |     795.31 |       182431.22 |        11555.26 |    58.30 |     270.11 |    1.56 |  105.11
  110.00 |    20.47 |     781.98 |       174554.59 |        11352.70 |    58.30 |     268.63 |    1.57 |  103.63
  120.00 |    21.01 |     768.58 |       166811.57 |        11145.11 |    58.30 |     267.14 |    1.58 |  102.14
  130.00 |    21.63 |     755.10 |       159202.85 |        10931.69 |    58.30 |     265.65 |    1.59 |  100.65
  140.00 |    22.33 |     741.55 |       151729.10 |        10711.60 |    58.30 |     264.16 |    1.60 |   99.16
  150.00 |    23.12 |     727.92 |       144391.03 |        10484.03 |    58.30 |     262.68 |    1.61 |   97.68
  160.00 |    23.99 |     714.21 |       137189.33 |        10248.15 |    58.30 |     261.19 |    1.62 |   96.19
  170.00 |    24.94 |     700.43 |       130124.68 |        10003.14 |    58.30 |     259.70 |    1.63 |   94.70
  180.00 |    25.83 |     686.34 |       123198.57 |         9748.62 |    58.30 |     258.19 |    1.70 |   93.19
  190.00 |    26.43 |     671.55 |       116416.79 |         9486.75 |    58.30 |     256.60 |    1.78 |   91.60
  200.00 |    26.73 |     656.04 |       109786.71 |         9220.56 |    58.30 |     254.95 |    1.87 |   89.95
  210.00 |    26.72 |     639.79 |       103315.86 |         8953.05 |    58.30 |     253.23 |    1.96 |   88.23
  220.00 |    26.41 |     622.79 |        97011.94 |         8687.27 |    58.30 |     251.45 |    2.05 |   86.45
  230.00 |    25.80 |     605.03 |        90882.81 |         8426.28 |    58.30 |     249.60 |    2.14 |   84.60
  240.00 |    24.87 |     586.48 |        84936.55 |         8173.15 |    58.30 |     247.68 |    2.22 |   82.68
  250.00 |    23.85 |     567.50 |        79179.93 |         7930.12 |    58.30 |     245.74 |    2.24 |   80.74
  260.00 |    22.92 |     548.37 |        73615.35 |         7696.77 |    58.30 |     243.80 |    2.26 |   78.80
  270.00 |    22.08 |     529.09 |        68244.41 |         7472.22 |    58.30 |     241.86 |    2.28 |   76.86
  280.00 |    21.33 |     509.65 |        63068.75 |         7255.58 |    58.30 |     239.92 |    2.29 |   74.92
  290.00 |    20.67 |     490.05 |        58090.09 |         7045.96 |    58.30 |     237.98 |    2.31 |   72.98
  300.00 |    20.10 |     470.29 |        53310.17 |         6842.48 |    58.30 |     236.04 |    2.33 |   71.04
  310.00 |    19.73 |     450.56 |        48730.19 |         6643.89 |    58.30 |     234.13 |    2.29 |   69.13
  320.00 |    19.86 |     431.34 |        44346.68 |         6446.27 |    58.30 |     232.27 |    2.22 |   67.27
  330.00 |    20.42 |     412.52 |        40154.34 |         6244.72 |    58.30 |     230.47 |    2.22 |   65.47
  340.00 |    21.10 |     393.59 |        36152.13 |         6036.83 |    58.30 |     228.67 |    2.23 |   63.67
  350.00 |    21.86 |     374.52 |        32341.70 |         5821.71 |    58.30 |     226.87 |    2.25 |   61.87
  360.00 |    22.72 |     355.29 |        28724.74 |         5598.45 |    58.30 |     225.07 |    2.27 |   60.07
  370.00 |    23.66 |     335.90 |        25303.07 |         5366.18 |    58.30 |     223.27 |    2.29 |   58.27
